iteration, added, updated, ignored, duration[s], overall, 27841.9
338, 26, 157, 279, 69.6108
339, 25, 158, 244, 69.888
340, 55, 146, 215, 70.6898
341, 36, 169, 179, 70.7308
342, 16, 160, 152, 70.7402
343, 17, 152, 146, 68.5437
344, 10, 141, 153, 74.5609
345, 4, 155, 170, 69.8529
346, 8, 137, 167, 71.4153
347, 9, 123, 151, 69.6339
348, 6, 115, 139, 71.9
349, 5, 106, 117, 70.5821
350, 4, 96, 113, 69.7635
351, 7, 84, 81, 72.8608
352, 2, 83, 85, 72.3281
353, 13, 81, 95, 73.7943
354, 10, 68, 92, 74.2072
355, 20, 65, 86, 73.9347
356, 16, 66, 89, 72.2002
357, 18, 72, 91, 72.9168
358, 23, 81, 97, 72.5806
359, 21, 89, 96, 73.7751
360, 19, 108, 96, 76.4875
361, 18, 118, 104, 77.3867
362, 22, 131, 115, 77.5577
363, 29, 149, 153, 74.3064
364, 11, 153, 189, 73.3404
365, 10, 165, 229, 75.7639
366, 9, 154, 253, 76.0424
367, 10, 148, 237, 73.812
368, 62, 123, 208, 75.3152
369, 58, 162, 190, 75.2282
370, 49, 160, 172, 76.5835
371, 42, 177, 149, 78.4006
372, 41, 192, 161, 82.5031
373, 20, 213, 183, 78.3762
374, 19, 226, 185, 79.4839
375, 11, 242, 194, 79.4998
376, 5, 230, 194, 78.9333
377, 5, 218, 211, 80.1654
378, 4, 192, 223, 79.5866
379, 15, 166, 249, 81.8347
380, 26, 115, 182, 88.2892
381, 48, 95, 140, 89.0659
382, 23, 111, 152, 90.8976
383, 17, 112, 138, 87.1112
384, 16, 128, 135, 85.5093
385, 15, 133, 145, 83.5425
386, 15, 130, 130, 94.559
387, 5, 130, 165, 90.6668
388, 11, 115, 154, 88.5268
389, 9, 119, 142, 87.4374
390, 9, 113, 150, 89.0246
391, 13, 96, 124, 96.9305
392, 7, 93, 127, 92.0482
393, 6, 84, 125, 90.1071
394, 6, 66, 118, 93.3234
395, 4, 63, 107, 95.4829
396, 13, 73, 101, 99.5303
397, 17, 85, 90, 99.118
398, 6, 76, 96, 94.5436
399, 25, 78, 116, 98.3556
400, 9, 93, 123, 95.9084
401, 12, 101, 131, 101.193
402, 9, 98, 128, 94.4908
403, 14, 104, 135, 94.1181
404, 12, 113, 139, 97.9441
405, 12, 106, 134, 95.5632
406, 15, 108, 116, 99.4374
407, 32, 120, 124, 99.8098
408, 22, 147, 138, 99.8323
409, 15, 151, 175, 101.095
410, 6, 164, 185, 95.4437
411, 16, 160, 180, 91.1163
412, 13, 164, 172, 92.9945
413, 31, 156, 200, 94.8153
414, 32, 116, 167, 98.6053
415, 21, 124, 151, 96.7741
416, 20, 125, 151, 97.0637
417, 9, 125, 157, 91.5729
418, 6, 102, 168, 95.0276
419, 3, 101, 182, 92.6388
420, 6, 94, 177, 93.0509
421, 3, 84, 156, 93.259
422, 5, 63, 114, 95.0574
423, 5, 65, 128, 95.8951
424, 2, 59, 133, 95.0825
425, 3, 48, 115, 95.9423
426, 7, 28, 105, 96.5303
427, 1, 35, 118, 97.0851
428, 12, 28, 118, 97.6441
429, 3, 38, 106, 96.9851
430, 13, 39, 111, 96.9329
431, 15, 47, 118, 97.0943
432, 6, 55, 135, 98.9532
433, 5, 59, 143, 100.723
434, 7, 59, 137, 98.749
435, 9, 58, 119, 99.1391
436, 11, 55, 120, 98.7428
437, 7, 58, 120, 97.3253
438, 12, 43, 129, 99.1035
439, 4, 45, 122, 99.4957
